Model 	GenomeIDSpeciesA 	GenomeIDSpeciesB 	GRSpeciesAFull 	GRSpeciesBFull 	GRASolo 	GRBSolo 	PercentChangeRawA 	PercentChangeRawB 	TypeOfInteraction
457416.3X999421.3 	457416.3 	999421.3 	92.270699639 	72.7721793391 	95.1081764187 	75.5233951232 	-0.0298342044454 	-0.0364286560424 	Neutralism
468059.3X553207.3 	468059.3 	553207.3 	125.262884561 	116.673864791 	112.859178798 	120.344768182 	0.109904270925 	-0.03050322375 	Commensalism
469609.3X313596.4 	469609.3 	313596.4 	0.0 	74.7627044323 	2.38458450676 	67.2073111238 	-1.0 	0.112419217227 	Parasitism
479436.6X665956.3 	479436.6 	665956.3 	109.716370573 	17.6181616053 	105.812782366 	3.58836940284 	0.0368914616903 	3.9097959623 	Commensalism
523794.5X1304880.3 	523794.5 	1304880.3 	86.4557058426 	9.58129209603 	87.1775203867 	1.28254505898 	-0.00827982421269 	6.4705305899 	Commensalism
523794.5X997353.4 	523794.5 	997353.4 	54.1530238863 	69.4718887123 	87.1775203867 	70.6356690236 	-0.378818947292 	-0.01647581636 	Amensalism
537011.5X1149865.7 	537011.5 	1149865.7 	79.2206471621 	130.735811303 	73.0927528114 	143.43487156 	0.0838372357724 	-0.0885353758043 	Neutralism
537011.5X1414720.3 	537011.5 	1414720.3 	112.90724642 	7.11649453726 	73.0927528114 	7.09094914168 	0.544711918449 	0.00360253543913 	Commensalism
537011.5X267747.3 	537011.5 	267747.3 	81.638785032 	147.17631048 	73.0927528114 	154.353403393 	0.116920377081 	-0.046497795029 	Commensalism
537013.3X1234871.3 	537013.3 	1234871.3 	10.6695765718 	6.12298149201 	1.27699415409 	15.508606901 	7.35522742029 	-0.605188168667 	Parasitism
537013.3X1235797.3 	537013.3 	1235797.3 	9.71573811338 	13.9785687346 	1.27699415409 	22.0694443632 	6.60828707184 	-0.366609847328 	Parasitism
537013.3X267747.3 	537013.3 	267747.3 	8.84233243531 	148.379632232 	1.27699415409 	154.353403393 	5.92433274419 	-0.0387019076333 	Commensalism
546271.5X1400053.5 	546271.5 	1400053.5 	94.2217652368 	46.3077544287 	100.227801613 	54.3494132372 	-0.0599238562509 	-0.147962201053 	Amensalism
552395.3X1077975.4 	552395.3 	1077975.4 	25.3270837384 	130.057520169 	16.1579856101 	128.148389783 	0.567465422334 	0.0148978101811 	Commensalism
552395.3X1105030.3 	552395.3 	1105030.3 	30.5943181909 	7.60713906872 	16.1579856101 	19.877492208 	0.893448783107 	-0.617298852938 	Parasitism
552395.3X267747.3 	552395.3 	267747.3 	21.812858819 	160.159896853 	16.1579856101 	154.353403393 	0.349973898068 	0.037618175773 	Commensalism
552395.3X457394.3 	552395.3 	457394.3 	22.0429398076 	17.8136687039 	16.1579856101 	17.8136687039 	0.364213357996 	0.0 	Commensalism
552395.3X596320.3 	552395.3 	596320.3 	27.5388837031 	110.748766028 	16.1579856101 	97.6127807015 	0.704351295244 	0.134572391362 	Mutualism
552395.3X997830.4 	552395.3 	997830.4 	2.29815364923 	18.2049606213 	16.1579856101 	2.41581420921 	-0.857769792307 	6.53574532011 	Parasitism
552395.3X997894.4 	552395.3 	997894.4 	35.8829465423 	20.3398533621 	16.1579856101 	43.0367913625 	1.22075618881 	-0.527384530348 	Parasitism
553174.6X1073372.3 	553174.6 	1073372.3 	74.5207925575 	1.76139623143 	74.5351177046 	2.39485497698 	-0.000192193257905 	-0.26450818594 	Amensalism
553175.3X1035197.3 	553175.3 	1035197.3 	4.26423525793 	59.8575927631 	32.1985560053 	60.019681731 	-0.867564394589 	-0.00270059692463 	Amensalism
553175.3X267747.3 	553175.3 	267747.3 	32.1985560053 	152.313084777 	32.1985560053 	154.353403393 	0.0 	-0.0132184880356 	Neutralism
553175.3X620833.3 	553175.3 	620833.3 	29.3295350639 	114.771636191 	32.1985560053 	117.271730005 	-0.0891040250665 	-0.0213188107133 	Neutralism
553177.6X1105030.3 	553177.6 	1105030.3 	72.9588452251 	15.6234396745 	27.8995483491 	19.877492208 	1.6150547067 	-0.214013543006 	Parasitism
553177.6X553178.3 	553177.6 	553178.3 	-1.31670351412e-25 	32.521379549 	27.8995483491 	14.5910863199 	-1.0 	1.22885252242 	Parasitism
553178.3X1105030.3 	553178.3 	1105030.3 	53.0965492905 	13.4673149977 	14.5910863199 	19.877492208 	2.63897163833 	-0.322484201891 	Parasitism
553178.3X1160721.7 	553178.3 	1160721.7 	48.1796004091 	3.56981336903 	14.5910863199 	9.4465812583 	2.30198858075 	-0.622105259943 	Parasitism
553178.3X537011.5 	553178.3 	537011.5 	39.5712383991 	72.1618776718 	14.5910863199 	73.0927528114 	1.71201454995 	-0.0127355326458 	Commensalism
553191.3X1035187.4 	553191.3 	1035187.4 	75.2675252596 	2.1894398192 	62.7830861704 	3.62233176535 	0.198850356851 	-0.395571703248 	Parasitism
