ModelName 	ObjFuntionSpeciesA 	ObjFunctionSpeceisB 	GRSpeciesAFull 	GRSpeciesBFull 	GRASolo 	GRBSolo
A_1514668_3_modelXA_267747_3 	A_1514668_3_model 	A_267747_3 	11.6067841994 	147.618347682 	7.62721135959 	154.353403393
A_1514668_3_modelXA_553175_3 	A_1514668_3_model 	A_553175_3 	5.81389838593 	32.1905791837 	7.62721135959 	32.1985560053
A_1514668_3_modelXA_620833_3 	A_1514668_3_model 	A_620833_3 	0.0 	133.306390619 	7.62721135959 	117.271730005
A_1514668_3_modelXA_699246_3 	A_1514668_3_model 	A_699246_3 	1.35305422464e-26 	8.73115017767 	7.62721135959 	1.22331770253
A_1519439_3_modelXA_1105030_3 	A_1519439_3_model 	A_1105030_3 	10.2806001728 	24.0521190291 	6.40991737032 	19.877492208
A_1519439_3_modelXA_267747_3 	A_1519439_3_model 	A_267747_3 	14.4662255468 	146.812937574 	6.40991737032 	154.353403393
A_1519439_3_modelXA_553177_6 	A_1519439_3_model 	A_553177_6 	-1.71954971489e-13 	66.4534331608 	6.40991737032 	27.8995483491
A_1519439_3_modelXA_553178_3 	A_1519439_3_model 	A_553178_3 	4.12738443879 	48.163086587 	6.40991737032 	14.5910863199
A_1519439_3_modelXA_866778_4 	A_1519439_3_model 	A_866778_4 	9.45044161079 	66.2347503232 	6.40991737032 	62.2460612132
A_1519439_3_modelXA_927666_3 	A_1519439_3_model 	A_927666_3 	8.27019476014 	13.0883635755 	6.40991737032 	3.60059435395
A_1539298_3XA_575604_3 	A_1539298_3 	A_575604_3 	94.6617176128 	29.0615890954 	74.4521110572 	25.4832714542
A_172045_12XA_267747_3 	A_172045_12 	A_267747_3 	165.662881087 	82.8572777468 	124.578880757 	154.353403393
A_172045_12XA_525257_3 	A_172045_12 	A_525257_3 	67.0679454194 	57.5109785338 	124.578880757 	87.7224984404
A_176279_9XA_888055_3 	A_176279_9 	A_888055_3 	44.9682698444 	101.718618816 	44.6964484443 	91.0990569708
A_196627_13XA_1203564_3 	A_196627_13 	A_1203564_3 	133.652986903 	16.7719355489 	115.244156971 	20.4305148357
A_267747_3XA_1035187_4 	A_267747_3 	A_1035187_4 	159.11977095 	3.62150512571 	154.353403393 	3.62233176535
A_267747_3XA_1076135_3 	A_267747_3 	A_1076135_3 	140.745480453 	181.369014948 	154.353403393 	187.733921963
A_267747_3XA_1077975_4 	A_267747_3 	A_1077975_4 	119.997046172 	127.258808748 	154.353403393 	128.148389783
A_267747_3XA_1094954_4 	A_267747_3 	A_1094954_4 	152.271238322 	35.9815384233 	154.353403393 	35.9815384233
A_267747_3XA_1095740_3 	A_267747_3 	A_1095740_3 	159.282910109 	3.85866820906 	154.353403393 	2.41581425883
A_267747_3XA_1097667_3 	A_267747_3 	A_1097667_3 	122.566975597 	159.097780211 	154.353403393 	140.768548444
A_267747_3XA_1105030_3 	A_267747_3 	A_1105030_3 	160.936527126 	18.3944014256 	154.353403393 	19.877492208
A_267747_3XA_1160721_7 	A_267747_3 	A_1160721_7 	148.161430985 	16.8361028594 	154.353403393 	9.4465812583
A_267747_3XA_1197728_3 	A_267747_3 	A_1197728_3 	153.153465286 	63.6905915761 	154.353403393 	63.69184768
A_267747_3XA_1203573_3 	A_267747_3 	A_1203573_3 	157.333507082 	16.6856544745 	154.353403393 	25.3374074362
A_267747_3XA_1227268_3 	A_267747_3 	A_1227268_3 	148.691428828 	85.6076586255 	154.353403393 	86.5823178198
A_267747_3XA_1235797_3 	A_267747_3 	A_1235797_3 	157.523094322 	19.514978221 	154.353403393 	22.0694443632
A_267747_3XA_1235815_4 	A_267747_3 	A_1235815_4 	153.083132971 	46.3920736749 	154.353403393 	46.3929172715
A_267747_3XA_1304880_3 	A_267747_3 	A_1304880_3 	148.877340442 	8.57990473447 	154.353403393 	1.28254505898
A_267747_3XA_1321817_3 	A_267747_3 	A_1321817_3 	154.812814963 	13.0846244282 	154.353403393 	14.6511250878
A_267747_3XA_1332188_3 	A_267747_3 	A_1332188_3 	152.638238703 	36.8896643112 	154.353403393 	36.8896643112
A_267747_3XA_1395125_3 	A_267747_3 	A_1395125_3 	157.500541403 	52.6391941724 	154.353403393 	52.6391941724
A_267747_3XA_1400053_5 	A_267747_3 	A_1400053_5 	142.73918128 	60.8185862408 	154.353403393 	54.3494132372
